fondo,fecha,vcp
Gainvest Balanceado - Clase A,2019-08-14,5.127897
Gainvest Balanceado - Clase A,2019-08-15,5.135303
Gainvest Balanceado - Clase A,2019-08-16,5.127491
Gainvest Balanceado - Clase A,2019-08-20,5.163091
Gainvest Balanceado - Clase A,2019-08-21,5.171688
Gainvest Balanceado - Clase A,2019-08-22,5.180277
Gainvest Balanceado - Clase A,2019-08-23,5.188882
Gainvest Balanceado - Clase A,2019-08-26,5.215123
Gainvest Balanceado - Clase A,2019-08-27,5.223935
Gainvest Balanceado - Clase A,2019-08-28,5.232753
Gainvest Balanceado - Clase A,2019-09-04,5.252231
Gainvest Balanceado - Clase A,2019-09-05,5.259969
Gainvest Balanceado - Clase A,2019-09-09,5.300495
Gainvest Balanceado - Clase A,2019-09-10,5.308411
Gainvest Balanceado - Clase A,2019-09-12,5.323848
Gainvest Balanceado - Clase A,2019-09-13,5.331852
Gainvest Balanceado - Clase A,2019-09-16,5.355999
Gainvest Balanceado - Clase A,2019-09-17,5.364084
Gainvest Balanceado - Clase A,2019-09-18,5.372387
Gainvest Balanceado - Clase A,2019-09-19,5.380796
Gainvest Balanceado - Clase A,2019-09-23,5.414522
Gainvest Balanceado - Clase A,2019-09-24,5.422983
Gainvest Balanceado - Clase A,2019-09-25,5.43145
Gainvest Balanceado - Clase A,2019-09-26,5.440001
Gainvest Balanceado - Clase A,2019-09-27,5.44854
Gainvest Balanceado - Clase A,2019-10-01,5.47991
Gainvest Balanceado - Clase A,2019-10-02,5.486009
Gainvest Balanceado - Clase A,2019-10-03,5.492446
Gainvest Balanceado - Clase A,2019-10-04,5.498904
Gainvest Balanceado - Clase A,2019-10-07,5.51493
Gainvest Balanceado - Clase A,2019-10-08,5.52144
Gainvest Balanceado - Clase A,2019-10-09,5.527946
Gainvest Balanceado - Clase A,2019-10-10,5.534151
Gainvest Balanceado - Clase A,2019-10-11,5.540324
Gainvest Balanceado - Clase A,2019-10-15,5.565059
Gainvest Balanceado - Clase A,2019-10-16,5.571248
Gainvest Balanceado - Clase A,2019-10-17,5.577488
Gainvest Balanceado - Clase A,2019-10-18,5.583818
Gainvest Balanceado - Clase A,2019-10-21,5.602967
Gainvest Balanceado - Clase A,2019-10-22,5.609353
Gainvest Balanceado - Clase A,2019-10-23,5.615736
Gainvest Balanceado - Clase A,2019-10-24,5.622133
Gainvest Balanceado - Clase A,2019-10-25,5.628628
Gainvest Balanceado - Clase A,2019-10-28,5.648112
Gainvest Balanceado - Clase A,2019-10-29,5.634381
Gainvest Balanceado - Clase A,2019-10-30,5.642949
Gainvest Balanceado - Clase A,2019-10-31,5.631077
Gainvest Balanceado - Clase A,2019-11-01,5.642007
Gainvest Balanceado - Clase A,2019-11-04,5.674987
Gainvest Balanceado - Clase A,2019-11-05,5.686028
Gainvest Balanceado - Clase A,2019-11-07,5.704473
Gainvest Balanceado - Clase A,2019-11-08,5.713549
Gainvest Balanceado - Clase A,2019-11-11,5.720261
Gainvest Balanceado - Clase A,2019-11-12,5.722496
Gainvest Balanceado - Clase A,2019-11-13,5.72473
Gainvest Balanceado - Clase A,2019-11-14,5.726701
Gainvest Balanceado - Clase A,2019-11-15,5.728669
Gainvest Balanceado - Clase A,2019-11-19,5.737172
Gainvest Balanceado - Clase A,2019-11-20,5.73886
Gainvest Balanceado - Clase A,2019-11-21,5.740319
Gainvest Balanceado - Clase A,2019-11-22,5.74246
Gainvest Balanceado - Clase A,2019-11-25,5.747784
Gainvest Balanceado - Clase A,2019-11-26,5.749382
Gainvest Balanceado - Clase A,2019-11-27,5.751759
Gainvest Balanceado - Clase A,2019-11-28,5.753799
Gainvest Balanceado - Clase A,2019-12-02,6.055929
Gainvest Balanceado - Clase A,2019-12-03,6.055853
Gainvest Balanceado - Clase A,2019-12-04,1.269277
Gainvest Balanceado - Clase A,2019-12-05,6.05989
Gainvest Balanceado - Clase A,2019-12-06,6.051554
Gainvest Balanceado - Clase A,2019-12-09,5.914983
Gainvest Balanceado - Clase A,2019-12-10,5.817495
Gainvest Balanceado - Clase A,2019-12-12,5.667282
Gainvest Balanceado - Clase A,2019-12-13,5.719218
Gainvest Balanceado - Clase A,2019-12-16,5.937409
Gainvest Balanceado - Clase A,2019-12-17,5.971162
