fecha,al30_ars,al30d_usd,al30c_usd,mep_implicito,ccl_implicito
2020-09-14,6332.0,52.2,49.71,121.3027,127.3788
2020-09-15,6282.15,51.62,49.5,121.6999,126.9121
2020-09-16,6141.78,48.42,46.5,126.8439,132.0813
2020-09-17,5963.89,47.18,44.85,126.4072,132.9741
2020-09-18,6086.0,47.29,45.0,128.6953,135.2444
2020-09-21,5980.0,45.3,42.15,132.0088,141.8743
2020-09-22,6030.0,45.49,42.4,132.5566,142.217
2020-09-23,6270.0,45.04,41.9,139.2096,149.642
2020-09-24,6088.0,45.5,43.2,133.8022,140.9259
2020-09-25,6079.0,45.45,42.5,133.7514,143.0353
2020-09-28,6230.0,44.95,42.7,138.5984,145.9016
2020-09-29,6169.37,44.5,42.15,138.6375,146.367
2020-09-30,6203.12,44.5,42.0,139.396,147.6933
2020-10-01,6128.28,44.7,42.75,137.098,143.3516
2020-10-02,6184.2,44.29,42.0,139.6297,147.2429
2020-10-05,6243.0,43.3,41.09,144.1801,151.9348
2020-10-06,6325.0,43.93,41.25,143.9791,153.3333
2020-10-07,6205.0,44.0,41.19,141.0227,150.6434
2020-10-08,6191.0,44.46,41.0,139.2488,151.0
2020-10-09,6362.67,44.66,42.28,142.4691,150.4889
2020-10-13,6420.0,44.66,41.19,143.7528,155.8631
2020-10-14,6625.0,44.0,40.14,150.5682,165.0473
2020-10-15,7050.0,44.7,41.01,157.7181,171.9093
2020-10-16,6787.5,44.0,41.8,154.2614,162.3804
2020-10-19,6804.0,44.2,41.0,153.9367,165.9512
2020-10-20,6426.75,43.0,39.48,149.4593,162.785
2020-10-21,6606.75,39.6,38.05,166.8371,173.6334
2020-10-22,6611.0,39.75,36.86,166.3145,179.3543
2020-10-23,6514.0,40.0,36.84,162.85,176.8187
2020-10-26,6090.0,38.51,36.22,158.1407,168.1391
2020-10-27,6008.5,39.19,37.0,153.3172,162.3919
2020-10-28,5727.0,39.0,36.61,146.8462,156.4327
2020-10-29,5666.0,38.99,36.61,145.3193,154.7665
2020-10-30,5480.5,38.16,36.4,143.619,150.5632
2020-11-02,5429.0,38.57,36.75,140.7571,147.7279
2020-11-03,5432.0,38.25,36.39,142.0131,149.2718
2020-11-04,5425.0,38.39,36.65,141.3128,148.0218
2020-11-05,5460.0,38.02,36.3,143.6086,150.4132
2020-11-09,5418.0,38.19,36.68,141.8696,147.7099
2020-11-10,5464.0,38.27,36.5,142.775,149.6986
2020-11-11,5549.0,38.55,36.95,143.9429,150.1759
2020-11-12,5556.5,39.06,37.58,142.2555,147.8579
2020-11-13,5550.0,39.7,38.3,139.7985,144.9086
2020-11-16,5769.0,40.3,38.75,143.1514,148.8774
2020-11-17,5807.0,40.17,39.0,144.5606,148.8974
2020-11-18,5827.0,39.84,38.8,146.26,150.1804
2020-11-19,5719.35,39.36,38.13,145.3087,149.9961
2020-11-20,5765.0,39.12,38.35,147.3671,150.3259
2020-11-24,5729.0,38.92,38.01,147.1994,150.7235
2020-11-25,5730.0,39.36,38.25,145.5793,149.8039
2020-11-26,5732.5,39.22,38.0,146.1627,150.8553
2020-11-27,5674.0,38.97,38.15,145.5992,148.7287
2020-11-30,5700.0,39.57,37.75,144.0485,150.9934
2020-12-01,5590.0,38.5,37.45,145.1948,149.2657
2020-12-02,5559.5,38.0,37.51,146.3026,148.2138
2020-12-03,5535.2,38.86,37.15,142.4395,148.996
2020-12-04,5455.73,38.75,37.5,140.793,145.4861
2020-12-09,5506.53,39.1,38.4,140.832,143.3992
2020-12-10,5421.0,39.57,39.5,136.9977,137.2405
2020-12-11,5534.0,40.01,39.2,138.3154,141.1735
2020-12-14,5658.5,40.19,39.53,140.7937,143.1444
2020-12-15,5569.5,40.03,39.42,139.1332,141.2861
2020-12-16,5594.5,39.72,39.26,140.8484,142.4987
2020-12-17,5589.25,39.81,39.16,140.3981,142.7285
2020-12-18,5636.0,40.15,39.8,140.3736,141.608
2020-12-21,5666.1,40.55,39.59,139.7312,143.1195
2020-12-22,5684.5,41.32,40.39,137.5726,140.7403
2020-12-23,5784.76,40.62,40.4,142.4116,143.1871
2020-12-28,5664.15,40.87,40.76,138.5894,138.9634
2020-12-29,5705.79,40.95,40.82,139.3355,139.7793
2020-12-30,5740.0,40.99,40.9,140.0342,140.3423
2021-01-04,5772.5,40.4,40.15,142.8837,143.7733
2021-01-05,5770.0,40.2,39.99,143.5323,144.2861
2021-01-06,5810.0,40.16,39.9,144.6713,145.614
2021-01-07,5760.0,39.69,39.56,145.1247,145.6016
2021-01-08,5765.0,39.22,39.05,146.9913,147.6312
2021-01-11,5703.0,38.85,38.7,146.7954,147.3643
2021-01-12,5662.17,38.91,38.7,145.5197,146.3093
2021-01-13,5625.0,38.85,38.75,144.7876,145.1613
2021-01-14,5639.0,38.52,38.0,146.3915,148.3947
2021-01-15,5623.0,38.6,38.35,145.6736,146.6232
2021-01-19,5650.0,38.65,38.0,146.1837,148.6842
2021-01-20,5643.0,38.68,38.0,145.8893,148.5
2021-01-21,5638.0,38.63,37.8,145.9487,149.1534
2021-01-22,5647.0,38.63,37.83,146.1817,149.2731
2021-01-25,5657.0,38.58,37.77,146.6304,149.775
2021-01-26,5662.0,38.54,37.76,146.9123,149.947
2021-01-27,5650.5,38.37,37.74,147.2635,149.7218
2021-01-28,5665.0,38.25,37.41,148.1046,151.4301
2021-01-29,5639.0,38.04,37.26,148.2387,151.3419
2021-02-01,5650.0,38.14,37.2,148.1384,151.8817
2021-02-02,5665.0,38.0,37.24,149.0789,152.1214
2021-02-03,5635.0,37.75,37.06,149.2715,152.0507
2021-02-04,5628.0,37.53,36.9,149.96,152.5203
2021-02-05,5615.0,37.44,36.72,149.9733,152.9139
2021-02-08,5623.0,37.62,36.87,149.4684,152.5088
2021-02-09,5615.0,37.53,36.66,149.6136,153.1642
2021-02-10,5615.0,37.45,36.7,149.9332,152.9973
2021-02-11,5445.0,37.45,36.64,145.3939,148.6081
2021-02-12,5387.0,36.76,35.7,146.5452,150.8964
2021-02-17,5180.0,36.2,35.16,143.0939,147.3265
2021-02-18,5129.0,36.49,35.5,140.5591,144.4789
2021-02-19,5079.5,36.35,35.45,139.7387,143.2863
2021-02-22,4975.0,36.14,35.4,137.6591,140.5367
2021-02-23,4992.0,36.04,35.1,138.5128,142.2222
2021-02-24,5060.5,35.76,34.99,141.5129,144.627
2021-02-25,5210.0,36.26,34.91,143.6845,149.2409
2021-02-26,5260.0,36.79,35.9,142.9736,146.5181
2021-03-01,5305.0,36.95,36.05,143.5724,147.1567
2021-03-02,5309.0,36.6,36.0,145.0546,147.4722
2021-03-03,5289.0,36.05,35.35,146.7129,149.6181
2021-03-04,5277.5,36.35,35.66,145.1857,147.995
