fecha,tna_finmes_pct
2019-07-31,48.29
2019-08-30,56.73
2019-09-30,57.75
2019-10-31,48.91
2019-11-29,43.99
2019-12-30,37.8
2020-01-31,33.36
2020-02-28,30.36
2020-03-30,27.27
2020-04-30,19.59
2020-05-29,25.2
2020-06-30,29.29
2020-07-31,28.35
2020-08-31,30.25
2020-09-30,30.07
2020-10-30,30.79
2020-11-30,33.79
2020-12-30,33.83
2021-01-29,33.86
2021-02-26,33.74
2021-03-31,33.84
2021-04-30,33.53
2021-05-31,34.03
2021-06-30,33.95
2021-07-30,33.95
2021-08-31,34.35
2021-09-30,34.15
2021-10-29,34.14
2021-11-30,33.11
2021-12-30,33.38
2022-01-31,37.61
2022-02-25,39.07
2022-03-31,41.91
2022-04-29,43.36
2022-05-31,45.35
2022-06-30,49.3
2022-07-29,55.81
2022-08-31,64.19
2022-09-30,69.6
2022-10-31,69.98
2022-11-30,70.19
2022-12-30,70.47
2023-01-31,70.87
2023-02-28,70.14
2023-03-31,73.58
2023-04-28,87.57
2023-05-31,90.83
2023-06-30,93.05
2023-07-31,93.59
2023-08-31,113.63
2023-09-29,111.93
2023-10-31,127.61
2023-11-30,127.94
2023-12-29,106.99
2024-01-31,107.73
2024-02-29,108.12
2024-03-27,70.2
2024-04-30,51.02
2024-05-31,31.0
2024-06-28,35.02
2024-07-31,35.69
2024-08-30,41.21
2024-09-30,39.41
2024-10-31,40.45
2024-11-29,36.59
2024-12-30,31.78
2025-01-31,28.72
2025-02-28,27.74
2025-03-31,29.46
2025-04-30,32.44
2025-05-30,31.29
2025-06-30,31.42
2025-07-31,35.02
2025-08-29,53.63
2025-09-30,37.67
2025-10-31,37.49
2025-11-28,29.03
2025-12-30,25.46
2026-01-30,28.57
2026-02-27,28.28
2026-03-31,23.94
2026-04-30,19.93
2026-05-29,20.01
2026-06-30,20.31
2026-07-24,20.93
